energy [eV]	total (gross)	total (net)	0 (gross)	0 (net)	1 (gross)	1 (net)	2 (gross)	2 (net)	3 (gross)	3 (net)	4 (gross)	4 (net)	5 (gross)	5 (net)	6 (gross)	6 (net)	7 (gross)	7 (net)	8 (gross)	8 (net)	9 (gross)	9 (net)	10 (gross)	10 (net)	11 (gross)	11 (net)	12 (gross)	12 (net)	13 (gross)	13 (net)	14 (gross)	14 (net)	15 (gross)	15 (net)	16 (gross)	16 (net)
500.00	7.476	7.476	18.00	18.00	22.24	22.24	19.50	19.50	18.27	18.27	14.50	14.50	10.75	10.75	6.318	6.318	3.872	3.872	2.711	2.711	1.945	1.945	1.551	1.551	1.462	1.462	1.227	1.227	1.236	1.236	1.227	1.227	1.125	1.125	1.155	1.155
502.00	7.397	7.397	17.71	17.71	21.96	21.96	19.35	19.35	18.06	18.06	14.36	14.36	10.62	10.62	6.218	6.218	3.776	3.776	2.736	2.736	1.951	1.951	1.538	1.538	1.435	1.435	1.232	1.232	1.303	1.303	1.215	1.215	1.124	1.124	1.172	1.172
504.00	7.326	7.326	17.33	17.33	21.75	21.75	19.23	19.23	17.83	17.83	14.30	14.30	10.52	10.52	6.162	6.162	3.717	3.717	2.710	2.710	1.964	1.964	1.532	1.532	1.405	1.405	1.235	1.235	1.357	1.357	1.190	1.190	1.116	1.116	1.194	1.194
506.00	7.268	7.268	16.97	16.97	21.62	21.62	19.08	19.08	17.62	17.62	14.31	14.31	10.45	10.45	6.140	6.140	3.710	3.710	2.634	2.634	1.969	1.969	1.544	1.544	1.386	1.386	1.235	1.235	1.389	1.389	1.161	1.161	1.113	1.113	1.214	1.214
508.00	7.219	7.219	16.69	16.69	21.48	21.48	18.86	18.86	17.49	17.49	14.35	14.35	10.40	10.40	6.143	6.143	3.743	3.743	2.535	2.535	1.955	1.955	1.568	1.568	1.386	1.386	1.238	1.238	1.403	1.403	1.133	1.133	1.125	1.125	1.221	1.221
510.00	7.170	7.170	16.51	16.51	21.30	21.30	18.55	18.55	17.41	17.41	14.39	14.39	10.32	10.32	6.146	6.146	3.782	3.782	2.441	2.441	1.912	1.912	1.595	1.595	1.403	1.403	1.250	1.250	1.401	1.401	1.104	1.104	1.154	1.154	1.215	1.215
512.00	7.114	7.114	16.40	16.40	21.05	21.05	18.22	18.22	17.37	17.37	14.39	14.39	10.20	10.20	6.127	6.127	3.799	3.799	2.380	2.380	1.847	1.847	1.618	1.618	1.425	1.425	1.274	1.274	1.389	1.389	1.075	1.075	1.190	1.190	1.196	1.196
514.00	7.052	7.052	16.32	16.32	20.77	20.77	17.93	17.93	17.32	17.32	14.33	14.33	10.03	10.03	6.080	6.080	3.786	3.786	2.355	2.355	1.777	1.777	1.634	1.634	1.436	1.436	1.308	1.308	1.371	1.371	1.050	1.050	1.222	1.222	1.170	1.170
516.00	6.989	6.989	16.20	16.20	20.54	20.54	17.73	17.73	17.24	17.24	14.19	14.19	9.863	9.863	6.019	6.019	3.774	3.774	2.347	2.347	1.720	1.720	1.650	1.650	1.425	1.425	1.341	1.341	1.346	1.346	1.034	1.034	1.239	1.239	1.150	1.150
518.00	6.929	6.929	16.06	16.06	20.37	20.37	17.60	17.60	17.11	17.11	13.96	13.96	9.730	9.730	5.993	5.993	3.785	3.785	2.351	2.351	1.688	1.688	1.675	1.675	1.384	1.384	1.362	1.362	1.312	1.312	1.025	1.025	1.245	1.245	1.142	1.142
520.00	6.868	6.868	15.88	15.88	20.21	20.21	17.47	17.47	16.92	16.92	13.65	13.65	9.650	9.650	6.039	6.039	3.808	3.808	2.367	2.367	1.681	1.681	1.705	1.705	1.324	1.324	1.365	1.365	1.268	1.268	1.026	1.026	1.255	1.255	1.142	1.142
522.00	6.805	6.805	15.67	15.67	19.99	19.99	17.30	17.30	16.71	16.71	13.30	13.30	9.622	9.622	6.151	6.151	3.827	3.827	2.400	2.400	1.696	1.696	1.731	1.731	1.264	1.264	1.354	1.354	1.223	1.223	1.032	1.032	1.279	1.279	1.147	1.147
524.00	6.741	6.741	15.44	15.44	19.68	19.68	17.08	17.08	16.49	16.49	12.98	12.98	9.625	9.625	6.288	6.288	3.819	3.819	2.448	2.448	1.727	1.727	1.748	1.748	1.229	1.229	1.343	1.343	1.191	1.191	1.037	1.037	1.312	1.312	1.155	1.155
526.00	6.680	6.680	15.20	15.20	19.34	19.34	16.88	16.88	16.28	16.28	12.78	12.78	9.619	9.619	6.375	6.375	3.769	3.769	2.487	2.487	1.772	1.772	1.753	1.753	1.238	1.238	1.348	1.348	1.180	1.180	1.042	1.042	1.340	1.340	1.165	1.165
528.00	6.628	6.628	14.99	14.99	19.04	19.04	16.72	16.72	16.08	16.08	12.71	12.71	9.573	9.573	6.359	6.359	3.687	3.687	2.492	2.492	1.830	1.830	1.749	1.749	1.289	1.289	1.381	1.381	1.196	1.196	1.050	1.050	1.351	1.351	1.187	1.187
530.00	6.588	6.588	14.81	14.81	18.85	18.85	16.62	16.62	15.90	15.90	12.72	12.72	9.489	9.489	6.241	6.241	3.600	3.600	2.451	2.451	1.893	1.893	1.742	1.742	1.375	1.375	1.439	1.439	1.235	1.235	1.064	1.064	1.342	1.342	1.225	1.225
532.00	6.556	6.556	14.70	14.70	18.77	18.77	16.53	16.53	15.72	15.72	12.76	12.76	9.378	9.378	6.060	6.060	3.520	3.520	2.379	2.379	1.954	1.954	1.728	1.728	1.474	1.474	1.513	1.513	1.281	1.281	1.083	1.083	1.317	1.317	1.274	1.274
534.00	6.524	6.524	14.64	14.64	18.75	18.75	16.40	16.40	15.55	15.55	12.78	12.78	9.268	9.268	5.871	5.871	3.444	3.444	2.311	2.311	2.000	2.000	1.695	1.695	1.562	1.562	1.585	1.585	1.322	1.322	1.108	1.108	1.291	1.291	1.318	1.318
536.00	6.488	6.488	14.62	14.62	18.72	18.72	16.23	16.23	15.37	15.37	12.76	12.76	9.180	9.180	5.719	5.719	3.386	3.386	2.281	2.281	2.020	2.020	1.641	1.641	1.619	1.619	1.642	1.642	1.353	1.353	1.143	1.143	1.273	1.273	1.340	1.340
538.00	6.449	6.449	14.61	14.61	18.64	18.64	16.06	16.06	15.16	15.16	12.70	12.70	9.111	9.111	5.635	5.635	3.362	3.362	2.306	2.306	2.010	2.010	1.579	1.579	1.637	1.637	1.678	1.678	1.372	1.372	1.186	1.186	1.258	1.258	1.332	1.332
540.00	6.412	6.412	14.59	14.59	18.52	18.52	15.94	15.94	14.94	14.94	12.63	12.63	9.050	9.050	5.609	5.609	3.374	3.374	2.371	2.371	1.978	1.978	1.532	1.532	1.620	1.620	1.687	1.687	1.377	1.377	1.239	1.239	1.240	1.240	1.296	1.296
542.00	6.378	6.378	14.55	14.55	18.38	18.38	15.89	15.89	14.72	14.72	12.57	12.57	8.983	8.983	5.609	5.609	3.427	3.427	2.448	2.448	1.940	1.940	1.521	1.521	1.583	1.583	1.675	1.675	1.372	1.372	1.300	1.300	1.214	1.214	1.245	1.245
544.00	6.350	6.350	14.50	14.50	18.24	18.24	15.86	15.86	14.51	14.51	12.52	12.52	8.900	8.900	5.617	5.617	3.516	3.516	2.514	2.514	1.915	1.915	1.552	1.552	1.549	1.549	1.650	1.650	1.361	1.361	1.363	1.363	1.179	1.179	1.195	1.195
546.00	6.322	6.322	14.42	14.42	18.11	18.11	15.81	15.81	14.32	14.32	12.48	12.48	8.806	8.806	5.616	5.616	3.614	3.614	2.558	2.558	1.911	1.911	1.612	1.612	1.539	1.539	1.623	1.623	1.343	1.343	1.415	1.415	1.141	1.141	1.168	1.168
548.00	6.290	6.290	14.29	14.29	17.97	17.97	15.67	15.67	14.18	14.18	12.42	12.42	8.713	8.713	5.589	5.589	3.690	3.690	2.588	2.588	1.926	1.926	1.679	1.679	1.562	1.562	1.599	1.599	1.323	1.323	1.440	1.440	1.114	1.114	1.175	1.175
550.00	6.249	6.249	14.12	14.12	17.78	17.78	15.47	15.47	14.11	14.11	12.31	12.31	8.630	8.630	5.540	5.540	3.721	3.721	2.614	2.614	1.952	1.952	1.739	1.739	1.612	1.612	1.581	1.581	1.303	1.303	1.433	1.433	1.108	1.108	1.217	1.217
552.00	6.203	6.203	13.92	13.92	17.53	17.53	15.25	15.25	14.11	14.11	12.16	12.16	8.558	8.558	5.478	5.478	3.698	3.698	2.638	2.638	1.980	1.980	1.784	1.784	1.671	1.671	1.568	1.568	1.285	1.285	1.399	1.399	1.127	1.127	1.289	1.289
554.00	6.154	6.154	13.72	13.72	17.26	17.26	15.07	15.07	14.15	14.15	11.97	11.97	8.495	8.495	5.410	5.410	3.627	3.627	2.649	2.649	2.004	2.004	1.813	1.813	1.716	1.716	1.553	1.553	1.275	1.275	1.352	1.352	1.167	1.167	1.371	1.371
556.00	6.104	6.104	13.56	13.56	16.98	16.98	14.98	14.98	14.18	14.18	11.79	11.79	8.429	8.429	5.348	5.348	3.534	3.534	2.629	2.629	2.015	2.015	1.827	1.827	1.730	1.730	1.531	1.531	1.283	1.283	1.309	1.309	1.219	1.219	1.444	1.444
558.00	6.057	6.057	13.44	13.44	16.71	16.71	14.93	14.93	14.14	14.14	11.63	11.63	8.369	8.369	5.311	5.311	3.451	3.451	2.572	2.572	2.013	2.013	1.830	1.830	1.710	1.710	1.504	1.504	1.314	1.314	1.286	1.286	1.271	1.271	1.494	1.494
560.00	6.014	6.014	13.34	13.34	16.51	16.51	14.86	14.86	14.01	14.01	11.53	11.53	8.342	8.342	5.306	5.306	3.397	3.397	2.486	2.486	2.005	2.005	1.822	1.822	1.666	1.666	1.471	1.471	1.363	1.363	1.293	1.293	1.315	1.315	1.513	1.513
562.00	5.974	5.974	13.26	13.26	16.37	16.37	14.75	14.75	13.80	13.80	11.48	11.48	8.360	8.360	5.315	5.315	3.376	3.376	2.395	2.395	1.994	1.994	1.811	1.811	1.613	1.613	1.437	1.437	1.413	1.413	1.326	1.326	1.348	1.348	1.496	1.496
564.00	5.939	5.939	13.18	13.18	16.29	16.29	14.59	14.59	13.58	13.58	11.48	11.48	8.422	8.422	5.314	5.314	3.379	3.379	2.329	2.329	1.987	1.987	1.805	1.805	1.564	1.564	1.412	1.412	1.446	1.446	1.371	1.371	1.363	1.363	1.448	1.448
566.00	5.910	5.910	13.12	13.12	16.24	16.24	14.41	14.41	13.39	13.39	11.49	11.49	8.519	8.519	5.281	5.281	3.390	3.390	2.298	2.298	1.981	1.981	1.804	1.804	1.532	1.532	1.410	1.410	1.453	1.453	1.410	1.410	1.365	1.365	1.386	1.386
568.00	5.886	5.886	13.08	13.08	16.22	16.22	14.23	14.23	13.27	13.27	11.48	11.48	8.612	8.612	5.209	5.209	3.395	3.395	2.295	2.295	1.965	1.965	1.802	1.802	1.517	1.517	1.433	1.433	1.440	1.440	1.429	1.429	1.359	1.359	1.329	1.329
570.00	5.859	5.859	13.04	13.04	16.18	16.18	14.09	14.09	13.19	13.19	11.43	11.43	8.648	8.648	5.118	5.118	3.393	3.393	2.307	2.307	1.931	1.931	1.799	1.799	1.511	1.511	1.469	1.469	1.423	1.423	1.426	1.426	1.353	1.353	1.290	1.290
572.00	5.826	5.826	12.99	12.99	16.14	16.14	13.95	13.95	13.13	13.13	11.32	11.32	8.605	8.605	5.038	5.038	3.390	3.390	2.317	2.317	1.887	1.887	1.796	1.796	1.509	1.509	1.501	1.501	1.413	1.413	1.417	1.417	1.356	1.356	1.275	1.275
574.00	5.788	5.788	12.89	12.89	16.10	16.10	13.84	13.84	13.05	13.05	11.19	11.19	8.491	8.491	4.988	4.988	3.384	3.384	2.322	2.322	1.854	1.854	1.796	1.796	1.507	1.507	1.508	1.508	1.415	1.415	1.420	1.420	1.366	1.366	1.278	1.278
576.00	5.749	5.749	12.75	12.75	16.07	16.07	13.71	13.71	12.95	12.95	11.08	11.08	8.335	8.335	4.973	4.973	3.378	3.378	2.323	2.323	1.844	1.844	1.794	1.794	1.506	1.506	1.488	1.488	1.420	1.420	1.438	1.438	1.378	1.378	1.294	1.294
578.00	5.714	5.714	12.59	12.59	16.04	16.04	13.55	13.55	12.84	12.84	11.02	11.02	8.184	8.184	4.986	4.986	3.381	3.381	2.327	2.327	1.858	1.858	1.784	1.784	1.511	1.511	1.457	1.457	1.421	1.421	1.462	1.462	1.385	1.385	1.323	1.323
580.00	5.688	5.688	12.47	12.47	15.99	15.99	13.36	13.36	12.76	12.76	11.01	11.01	8.077	8.077	5.018	5.018	3.393	3.393	2.335	2.335	1.895	1.895	1.760	1.760	1.529	1.529	1.445	1.445	1.416	1.416	1.483	1.483	1.385	1.385	1.373	1.373
582.00	5.672	5.672	12.38	12.38	15.91	15.91	13.15	13.15	12.71	12.71	11.02	11.02	8.011	8.011	5.056	5.056	3.419	3.419	2.345	2.345	1.939	1.939	1.721	1.721	1.559	1.559	1.468	1.468	1.406	1.406	1.493	1.493	1.387	1.387	1.446	1.446
584.00	5.661	5.661	12.30	12.30	15.79	15.79	12.97	12.97	12.69	12.69	11.01	11.01	7.954	7.954	5.083	5.083	3.461	3.461	2.360	2.360	1.978	1.978	1.688	1.688	1.594	1.594	1.525	1.525	1.402	1.402	1.494	1.494	1.400	1.400	1.532	1.532
586.00	5.650	5.650	12.22	12.22	15.66	15.66	12.82	12.82	12.67	12.67	10.96	10.96	7.879	7.879	5.092	5.092	3.514	3.514	2.380	2.380	2.010	2.010	1.678	1.678	1.628	1.628	1.602	1.602	1.408	1.408	1.495	1.495	1.431	1.431	1.607	1.607
588.00	5.635	5.635	12.10	12.10	15.53	15.53	12.73	12.73	12.62	12.62	10.89	10.89	7.773	7.773	5.076	5.076	3.561	3.561	2.406	2.406	2.039	2.039	1.696	1.696	1.656	1.656	1.673	1.673	1.421	1.421	1.504	1.504	1.475	1.475	1.650	1.650
590.00	5.612	5.612	11.93	11.93	15.42	15.42	12.66	12.66	12.54	12.54	10.82	10.82	7.646	7.646	5.041	5.041	3.585	3.585	2.431	2.431	2.055	2.055	1.729	1.729	1.677	1.677	1.724	1.724	1.438	1.438	1.522	1.522	1.523	1.523	1.654	1.654
592.00	5.583	5.583	11.76	11.76	15.34	15.34	12.61	12.61	12.44	12.44	10.74	10.74	7.529	7.529	5.000	5.000	3.579	3.579	2.442	2.442	2.054	2.054	1.761	1.761	1.694	1.694	1.753	1.753	1.455	1.455	1.556	1.556	1.565	1.565	1.627	1.627
594.00	5.551	5.551	11.61	11.61	15.27	15.27	12.58	12.58	12.32	12.32	10.64	10.64	7.449	7.449	4.969	4.969	3.539	3.539	2.436	2.436	2.038	2.038	1.778	1.778	1.712	1.712	1.767	1.767	1.470	1.470	1.607	1.607	1.594	1.594	1.588	1.588
596.00	5.521	5.521	11.50	11.50	15.20	15.20	12.56	12.56	12.20	12.20	10.54	10.54	7.412	7.412	4.956	4.956	3.470	3.470	2.417	2.417	2.011	2.011	1.778	1.778	1.732	1.732	1.774	1.774	1.487	1.487	1.670	1.670	1.611	1.611	1.554	1.554
598.00	5.496	5.496	11.44	11.44	15.11	15.11	12.56	12.56	12.06	12.06	10.43	10.43	7.416	7.416	4.959	4.959	3.388	3.388	2.398	2.398	1.985	1.985	1.774	1.774	1.744	1.744	1.777	1.777	1.507	1.507	1.736	1.736	1.618	1.618	1.536	1.536
600.00	5.475	5.475	11.43	11.43	14.98	14.98	12.58	12.58	11.89	11.89	10.34	10.34	7.441	7.441	4.969	4.969	3.309	3.309	2.400	2.400	1.974	1.974	1.779	1.779	1.744	1.744	1.775	1.775	1.526	1.526	1.787	1.787	1.617	1.617	1.539	1.539
602.00	5.455	5.455	11.42	11.42	14.80	14.80	12.59	12.59	11.71	11.71	10.29	10.29	7.472	7.472	4.978	4.978	3.246	3.246	2.432	2.432	1.986	1.986	1.800	1.800	1.734	1.734	1.766	1.766	1.536	1.536	1.809	1.809	1.606	1.606	1.559	1.559
604.00	5.433	5.433	11.38	11.38	14.59	14.59	12.58	12.58	11.54	11.54	10.25	10.25	7.500	7.500	4.982	4.982	3.208	3.208	2.488	2.488	2.012	2.012	1.836	1.836	1.716	1.716	1.749	1.749	1.536	1.536	1.800	1.800	1.591	1.591	1.590	1.590
606.00	5.408	5.408	11.31	11.31	14.38	14.38	12.53	12.53	11.41	11.41	10.22	10.22	7.520	7.520	4.985	4.985	3.194	3.194	2.553	2.553	2.042	2.042	1.878	1.878	1.700	1.700	1.726	1.726	1.534	1.534	1.764	1.764	1.575	1.575	1.621	1.621
608.00	5.383	5.383	11.19	11.19	14.20	14.20	12.46	12.46	11.35	11.35	10.18	10.18	7.522	7.522	4.995	4.995	3.199	3.199	2.605	2.605	2.066	2.066	1.910	1.910	1.699	1.699	1.699	1.699	1.536	1.536	1.717	1.717	1.558	1.558	1.644	1.644
610.00	5.359	5.359	11.05	11.05	14.07	14.07	12.37	12.37	11.36	11.36	10.12	10.12	7.496	7.496	5.006	5.006	3.214	3.214	2.628	2.628	2.078	2.078	1.919	1.919	1.717	1.717	1.671	1.671	1.548	1.548	1.672	1.672	1.543	1.543	1.653	1.653
612.00	5.338	5.338	10.92	10.92	14.01	14.01	12.27	12.27	11.44	11.44	10.04	10.04	7.437	7.437	5.011	5.011	3.228	3.228	2.621	2.621	2.080	2.080	1.905	1.905	1.752	1.752	1.648	1.648	1.573	1.573	1.637	1.637	1.532	1.532	1.651	1.651
614.00	5.320	5.320	10.81	10.81	14.00	14.00	12.17	12.17	11.55	11.55	9.969	9.969	7.344	7.344	5.011	5.011	3.232	3.232	2.590	2.590	2.077	2.077	1.873	1.873	1.801	1.801	1.637	1.637	1.601	1.601	1.616	1.616	1.522	1.522	1.643	1.643
616.00	5.301	5.301	10.70	10.70	14.00	14.00	12.10	12.10	11.63	11.63	9.898	9.898	7.226	7.226	5.003	5.003	3.224	3.224	2.554	2.554	2.069	2.069	1.837	1.837	1.851	1.851	1.643	1.643	1.618	1.618	1.611	1.611	1.514	1.514	1.628	1.628
618.00	5.278	5.278	10.60	10.60	14.00	14.00	12.05	12.05	11.64	11.64	9.831	9.831	7.101	7.101	4.987	4.987	3.205	3.205	2.530	2.530	2.057	2.057	1.812	1.812	1.888	1.888	1.669	1.669	1.619	1.619	1.618	1.618	1.509	1.509	1.608	1.608
620.00	5.253	5.253	10.50	10.50	13.99	13.99	12.04	12.04	11.55	11.55	9.761	9.761	6.992	6.992	4.962	4.962	3.184	3.184	2.526	2.526	2.041	2.041	1.809	1.809	1.906	1.906	1.709	1.709	1.605	1.605	1.633	1.633	1.508	1.508	1.586	1.586
622.00	5.225	5.225	10.38	10.38	13.96	13.96	12.07	12.07	11.37	11.37	9.683	9.683	6.911	6.911	4.924	4.924	3.172	3.172	2.534	2.534	2.022	2.022	1.824	1.824	1.910	1.910	1.756	1.756	1.584	1.584	1.648	1.648	1.509	1.509	1.565	1.565
624.00	5.196	5.196	10.27	10.27	13.91	13.91	12.11	12.11	11.15	11.15	9.597	9.597	6.866	6.866	4.870	4.870	3.174	3.174	2.543	2.543	2.007	2.007	1.844	1.844	1.901	1.901	1.797	1.797	1.568	1.568	1.656	1.656	1.516	1.516	1.549	1.549
626.00	5.169	5.169	10.18	10.18	13.84	13.84	12.15	12.15	10.94	10.94	9.512	9.512	6.857	6.857	4.812	4.812	3.187	3.187	2.542	2.542	1.996	1.996	1.855	1.855	1.885	1.885	1.823	1.823	1.568	1.568	1.654	1.654	1.530	1.530	1.544	1.544
628.00	5.144	5.144	10.09	10.09	13.75	13.75	12.13	12.13	10.79	10.79	9.448	9.448	6.881	6.881	4.769	4.769	3.201	3.201	2.521	2.521	1.988	1.988	1.854	1.854	1.865	1.865	1.829	1.829	1.588	1.588	1.646	1.646	1.553	1.553	1.553	1.553
630.00	5.123	5.123	10.01	10.01	13.64	13.64	12.05	12.05	10.72	10.72	9.409	9.409	6.927	6.927	4.747	4.747	3.205	3.205	2.485	2.485	1.983	1.983	1.843	1.843	1.839	1.839	1.818	1.818	1.621	1.621	1.639	1.639	1.581	1.581	1.574	1.574
632.00	5.108	5.108	9.947	9.947	13.56	13.56	11.91	11.91	10.73	10.73	9.388	9.388	6.975	6.975	4.742	4.742	3.195	3.195	2.447	2.447	1.985	1.985	1.833	1.833	1.809	1.809	1.792	1.792	1.661	1.661	1.643	1.643	1.609	1.609	1.610	1.610
634.00	5.098	5.098	9.886	9.886	13.49	13.49	11.76	11.76	10.77	10.77	9.375	9.375	7.005	7.005	4.743	4.743	3.174	3.174	2.415	2.415	2.001	2.001	1.837	1.837	1.787	1.787	1.760	1.760	1.703	1.703	1.662	1.662	1.638	1.638	1.663	1.663
636.00	5.092	5.092	9.824	9.824	13.42	13.42	11.63	11.63	10.80	10.80	9.361	9.361	7.004	7.004	4.734	4.734	3.153	3.153	2.395	2.395	2.033	2.033	1.858	1.858	1.781	1.781	1.731	1.731	1.744	1.744	1.693	1.693	1.667	1.667	1.727	1.727
638.00	5.089	5.089	9.757	9.757	13.36	13.36	11.55	11.55	10.82	10.82	9.341	9.341	6.967	6.967	4.704	4.704	3.144	3.144	2.395	2.395	2.076	2.076	1.891	1.891	1.797	1.797	1.716	1.716	1.778	1.778	1.730	1.730	1.698	1.698	1.795	1.795
640.00	5.085	5.085	9.674	9.674	13.29	13.29	11.50	11.50	10.79	10.79	9.319	9.319	6.900	6.900	4.659	4.659	3.149	3.149	2.411	2.411	2.116	2.116	1.926	1.926	1.833	1.833	1.721	1.721	1.804	1.804	1.766	1.766	1.731	1.731	1.856	1.856
642.00	5.079	5.079	9.564	9.564	13.22	13.22	11.50	11.50	10.73	10.73	9.298	9.298	6.819	6.819	4.612	4.612	3.168	3.168	2.436	2.436	2.142	2.142	1.956	1.956	1.880	1.880	1.743	1.743	1.822	1.822	1.796	1.796	1.765	1.765	1.899	1.899
644.00	5.071	5.071	9.436	9.436	13.18	13.18	11.50	11.50	10.64	10.64	9.275	9.275	6.738	6.738	4.574	4.574	3.189	3.189	2.465	2.465	2.154	2.154	1.981	1.981	1.924	1.924	1.779	1.779	1.833	1.833	1.822	1.822	1.794	1.794	1.922	1.922
646.00	5.062	5.062	9.310	9.310	13.18	13.18	11.51	11.51	10.54	10.54	9.246	9.246	6.659	6.659	4.554	4.554	3.202	3.202	2.495	2.495	2.162	2.162	1.997	1.997	1.953	1.953	1.816	1.816	1.837	1.837	1.849	1.849	1.815	1.815	1.929	1.929
648.00	5.052	5.052	9.205	9.205	13.19	13.19	11.50	11.50	10.46	10.46	9.210	9.210	6.588	6.588	4.548	4.548	3.204	3.204	2.521	2.521	2.173	2.173	2.006	2.006	1.964	1.964	1.844	1.844	1.838	1.838	1.880	1.880	1.830	1.830	1.931	1.931
650.00	5.042	5.042	9.139	9.139	13.19	13.19	11.47	11.47	10.37	10.37	9.168	9.168	6.535	6.535	4.549	4.549	3.201	3.201	2.543	2.543	2.192	2.192	2.011	2.011	1.960	1.960	1.860	1.860	1.835	1.835	1.912	1.912	1.838	1.838	1.932	1.932
652.00	5.031	5.031	9.121	9.121	13.16	13.16	11.45	11.45	10.29	10.29	9.103	9.103	6.501	6.501	4.552	4.552	3.203	3.203	2.561	2.561	2.210	2.210	2.015	2.015	1.948	1.948	1.870	1.870	1.826	1.826	1.942	1.942	1.841	1.841	1.932	1.932
654.00	5.018	5.018	9.133	9.133	13.10	13.10	11.44	11.44	10.21	10.21	9.002	9.002	6.480	6.480	4.555	4.555	3.212	3.212	2.577	2.577	2.222	2.222	2.020	2.020	1.933	1.933	1.876	1.876	1.815	1.815	1.963	1.963	1.838	1.838	1.929	1.929
656.00	5.001	5.001	9.151	9.151	13.01	13.01	11.43	11.43	10.13	10.13	8.867	8.867	6.466	6.466	4.562	4.562	3.222	3.222	2.594	2.594	2.229	2.229	2.029	2.029	1.920	1.920	1.882	1.882	1.807	1.807	1.970	1.970	1.832	1.832	1.918	1.918
658.00	4.983	4.983	9.157	9.157	12.93	12.93	11.41	11.41	10.07	10.07	8.717	8.717	6.442	6.442	4.574	4.574	3.222	3.222	2.619	2.619	2.238	2.238	2.046	2.046	1.908	1.908	1.887	1.887	1.807	1.807	1.962	1.962	1.823	1.823	1.896	1.896
660.00	4.964	4.964	9.138	9.138	12.87	12.87	11.36	11.36	10.04	10.04	8.586	8.586	6.398	6.398	4.586	4.586	3.208	3.208	2.653	2.653	2.257	2.257	2.070	2.070	1.901	1.901	1.890	1.890	1.819	1.819	1.940	1.940	1.810	1.810	1.861	1.861
662.00	4.945	4.945	9.084	9.084	12.84	12.84	11.27	11.27	10.05	10.05	8.499	8.499	6.336	6.336	4.582	4.582	3.191	3.191	2.687	2.687	2.288	2.288	2.097	2.097	1.900	1.900	1.889	1.889	1.846	1.846	1.908	1.908	1.793	1.793	1.815	1.815
664.00	4.927	4.927	8.997	8.997	12.82	12.82	11.16	11.16	10.07	10.07	8.463	8.463	6.267	6.267	4.552	4.552	3.182	3.182	2.710	2.710	2.325	2.325	2.122	2.122	1.905	1.905	1.895	1.895	1.882	1.882	1.877	1.877	1.772	1.772	1.767	1.767
666.00	4.910	4.910	8.879	8.879	12.81	12.81	11.06	11.06	10.08	10.08	8.464	8.464	6.206	6.206	4.499	4.499	3.189	3.189	2.712	2.712	2.352	2.352	2.132	2.132	1.917	1.917	1.914	1.914	1.915	1.915	1.861	1.861	1.750	1.750	1.730	1.730
668.00	4.893	4.893	8.732	8.732	12.79	12.79	10.99	10.99	10.06	10.06	8.481	8.481	6.171	6.171	4.434	4.434	3.210	3.210	2.693	2.693	2.360	2.360	2.124	2.124	1.934	1.934	1.941	1.941	1.935	1.935	1.866	1.866	1.737	1.737	1.715	1.715
670.00	4.878	4.878	8.564	8.564	12.78	12.78	10.97	10.97	10.01	10.01	8.498	8.498	6.169	6.169	4.374	4.374	3.242	3.242	2.660	2.660	2.349	2.349	2.100	2.100	1.951	1.951	1.967	1.967	1.939	1.939	1.893	1.893	1.742	1.742	1.720	1.720
672.00	4.868	4.868	8.394	8.394	12.77	12.77	10.99	10.99	9.947	9.947	8.511	8.511	6.186	6.186	4.336	4.336	3.281	3.281	2.625	2.625	2.327	2.327	2.072	2.072	1.964	1.964	1.979	1.979	1.931	1.931	1.940	1.940	1.770	1.770	1.737	1.737
674.00	4.866	4.866	8.246	8.246	12.78	12.78	11.04	11.04	9.903	9.903	8.515	8.515	6.203	6.203	4.325	4.325	3.327	3.327	2.596	2.596	2.307	2.307	2.053	2.053	1.972	1.972	1.970	1.970	1.921	1.921	1.992	1.992	1.815	1.815	1.756	1.756
676.00	4.871	4.871	8.140	8.140	12.82	12.82	11.09	11.09	9.884	9.884	8.510	8.510	6.207	6.207	4.336	4.336	3.385	3.385	2.575	2.575	2.299	2.299	2.045	2.045	1.975	1.975	1.947	1.947	1.922	1.922	2.038	2.038	1.865	1.865	1.772	1.772
678.00	4.879	4.879	8.091	8.091	12.86	12.86	11.12	11.12	9.880	9.880	8.497	8.497	6.189	6.189	4.364	4.364	3.448	3.448	2.562	2.562	2.299	2.299	2.042	2.042	1.974	1.974	1.923	1.923	1.940	1.940	2.069	2.069	1.906	1.906	1.789	1.789
680.00	4.888	4.888	8.101	8.101	12.89	12.89	11.12	11.12	9.871	9.871	8.479	8.479	6.154	6.154	4.403	4.403	3.501	3.501	2.556	2.556	2.304	2.304	2.039	2.039	1.977	1.977	1.908	1.908	1.970	1.970	2.084	2.084	1.926	1.926	1.813	1.813
682.00	4.893	4.893	8.156	8.156	12.89	12.89	11.09	11.09	9.841	9.841	8.453	8.453	6.115	6.115	4.443	4.443	3.530	3.530	2.561	2.561	2.308	2.308	2.031	2.031	1.994	1.994	1.904	1.904	2.006	2.006	2.086	2.086	1.921	1.921	1.847	1.847
