energy [eV]	total (gross)	total (net)	0 (gross)	0 (net)	1 (gross)	1 (net)	2 (gross)	2 (net)	3 (gross)	3 (net)	4 (gross)	4 (net)	5 (gross)	5 (net)	6 (gross)	6 (net)	7 (gross)	7 (net)	8 (gross)	8 (net)	9 (gross)	9 (net)	10 (gross)	10 (net)	11 (gross)	11 (net)	12 (gross)	12 (net)	13 (gross)	13 (net)	14 (gross)	14 (net)	15 (gross)	15 (net)	16 (gross)	16 (net)
2,270.00	0.4452	0.4452	1.016	1.016	1.295	1.295	0.9239	0.9239	0.7694	0.7694	0.5728	0.5728	0.5748	0.5748	0.4886	0.4886	0.4103	0.4103	0.3384	0.3384	0.2511	0.2511	0.2410	0.2410	0.1801	0.1801	0.1218	0.1218	0.1253	0.1253	0.09539	0.09539	0.08880	0.08880	0.07550	0.07550
2,272.00	0.4498	0.4498	1.019	1.019	1.322	1.322	0.9603	0.9603	0.7620	0.7620	0.5645	0.5645	0.5803	0.5803	0.4947	0.4947	0.3989	0.3989	0.3553	0.3553	0.2534	0.2534	0.2407	0.2407	0.1858	0.1858	0.1209	0.1209	0.1200	0.1200	0.09482	0.09482	0.09860	0.09860	0.07613	0.07613
2,274.00	0.4546	0.4546	1.014	1.014	1.341	1.341	1.003	1.003	0.7670	0.7670	0.5623	0.5623	0.5818	0.5818	0.4984	0.4984	0.3935	0.3935	0.3674	0.3674	0.2515	0.2515	0.2367	0.2367	0.1893	0.1893	0.1239	0.1239	0.1189	0.1189	0.09624	0.09624	0.1050	0.1050	0.07874	0.07874
2,276.00	0.4582	0.4582	1.006	1.006	1.351	1.351	1.039	1.039	0.7814	0.7814	0.5675	0.5675	0.5790	0.5790	0.4974	0.4974	0.3938	0.3938	0.3709	0.3709	0.2451	0.2451	0.2288	0.2288	0.1884	0.1884	0.1302	0.1302	0.1223	0.1223	0.09890	0.09890	0.1062	0.1062	0.08212	0.08212
2,278.00	0.4599	0.4599	1.002	1.002	1.357	1.357	1.060	1.060	0.7983	0.7983	0.5798	0.5798	0.5731	0.5731	0.4919	0.4919	0.3975	0.3975	0.3659	0.3659	0.2372	0.2372	0.2178	0.2178	0.1839	0.1839	0.1380	0.1380	0.1284	0.1284	0.1006	0.1006	0.1026	0.1026	0.08450	0.08450
2,280.00	0.4604	0.4604	1.006	1.006	1.363	1.363	1.064	1.064	0.8108	0.8108	0.5985	0.5985	0.5673	0.5673	0.4841	0.4841	0.4015	0.4015	0.3557	0.3557	0.2321	0.2321	0.2061	0.2061	0.1783	0.1783	0.1448	0.1448	0.1341	0.1341	0.09931	0.09931	0.09632	0.09632	0.08493	0.08493
2,282.00	0.4602	0.4602	1.021	1.021	1.367	1.367	1.053	1.053	0.8153	0.8153	0.6221	0.6221	0.5626	0.5626	0.4766	0.4766	0.4032	0.4032	0.3447	0.3447	0.2329	0.2329	0.1974	0.1974	0.1743	0.1743	0.1486	0.1486	0.1367	0.1367	0.09506	0.09506	0.08964	0.08964	0.08400	0.08400
2,284.00	0.4606	0.4606	1.045	1.045	1.369	1.369	1.035	1.035	0.8130	0.8130	0.6479	0.6479	0.5586	0.5586	0.4723	0.4723	0.4019	0.4019	0.3369	0.3369	0.2399	0.2399	0.1961	0.1961	0.1734	0.1734	0.1489	0.1489	0.1352	0.1352	0.08955	0.08955	0.08471	0.08471	0.08302	0.08302
2,286.00	0.4626	0.4626	1.078	1.078	1.368	1.368	1.017	1.017	0.8097	0.8097	0.6728	0.6728	0.5538	0.5538	0.4738	0.4738	0.3994	0.3994	0.3343	0.3343	0.2505	0.2505	0.2043	0.2043	0.1752	0.1752	0.1468	0.1468	0.1305	0.1305	0.08491	0.08491	0.08248	0.08248	0.08345	0.08345
2,288.00	0.4664	0.4664	1.112	1.112	1.366	1.366	1.005	1.005	0.8107	0.8107	0.6935	0.6935	0.5463	0.5463	0.4804	0.4804	0.3978	0.3978	0.3365	0.3365	0.2623	0.2623	0.2198	0.2198	0.1783	0.1783	0.1440	0.1440	0.1245	0.1245	0.08242	0.08242	0.08306	0.08306	0.08645	0.08645
2,290.00	0.4713	0.4713	1.138	1.138	1.369	1.369	1.003	1.003	0.8168	0.8168	0.7058	0.7058	0.5359	0.5359	0.4877	0.4877	0.3985	0.3985	0.3422	0.3422	0.2732	0.2732	0.2363	0.2363	0.1818	0.1818	0.1425	0.1425	0.1200	0.1200	0.08173	0.08173	0.08694	0.08694	0.09240	0.09240
2,292.00	0.4757	0.4757	1.153	1.153	1.378	1.378	1.009	1.009	0.8258	0.8258	0.7063	0.7063	0.5263	0.5263	0.4919	0.4919	0.4002	0.4002	0.3490	0.3490	0.2805	0.2805	0.2464	0.2464	0.1844	0.1844	0.1428	0.1428	0.1186	0.1186	0.08178	0.08178	0.09373	0.09373	0.09987	0.09987
2,294.00	0.4787	0.4787	1.156	1.156	1.393	1.393	1.022	1.022	0.8349	0.8349	0.6953	0.6953	0.5241	0.5241	0.4910	0.4910	0.4021	0.4021	0.3542	0.3542	0.2814	0.2814	0.2453	0.2453	0.1846	0.1846	0.1435	0.1435	0.1201	0.1201	0.08194	0.08194	0.1017	0.1017	0.1068	0.1068
2,296.00	0.4799	0.4799	1.152	1.152	1.402	1.402	1.044	1.044	0.8412	0.8412	0.6779	0.6779	0.5340	0.5340	0.4856	0.4856	0.4042	0.4042	0.3549	0.3549	0.2758	0.2758	0.2338	0.2338	0.1817	0.1817	0.1436	0.1436	0.1240	0.1240	0.08228	0.08228	0.1092	0.1092	0.1122	0.1122
2,298.00	0.4800	0.4800	1.152	1.152	1.397	1.397	1.073	1.073	0.8423	0.8423	0.6618	0.6618	0.5554	0.5554	0.4788	0.4788	0.4062	0.4062	0.3498	0.3498	0.2656	0.2656	0.2179	0.2179	0.1764	0.1764	0.1426	0.1426	0.1290	0.1290	0.08317	0.08317	0.1145	0.1145	0.1147	0.1147
2,300.00	0.4803	0.4803	1.160	1.160	1.377	1.377	1.106	1.106	0.8392	0.8392	0.6539	0.6539	0.5832	0.5832	0.4750	0.4750	0.4089	0.4089	0.3410	0.3410	0.2553	0.2553	0.2048	0.2048	0.1703	0.1703	0.1401	0.1401	0.1339	0.1339	0.08503	0.08503	0.1166	0.1166	0.1135	0.1135
2,302.00	0.4815	0.4815	1.178	1.178	1.344	1.344	1.139	1.139	0.8348	0.8348	0.6553	0.6553	0.6100	0.6100	0.4750	0.4750	0.4132	0.4132	0.3325	0.3325	0.2502	0.2502	0.1989	0.1989	0.1665	0.1665	0.1364	0.1364	0.1371	0.1371	0.08843	0.08843	0.1155	0.1155	0.1092	0.1092
